               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050769,            0.022527,           0.0025945,              0.6354,             0.53052,             0.53466,             0.22541,             0.05352,            0.014116,           0.0044133,            0.006535,            0.006535,            0.006535
                  37,            0.050235,            0.023044,           0.0024667,             0.69933,             0.52613,             0.53949,             0.23046,            0.052569,            0.014178,           0.0035422,            0.006436,            0.006436,            0.006436
                  38,            0.049702,            0.022471,           0.0024664,             0.66359,             0.52978,             0.53356,             0.22919,            0.052457,            0.014288,           0.0039236,            0.006337,            0.006337,            0.006337
                  39,            0.049906,            0.022715,            0.002398,             0.66164,             0.53617,             0.53799,             0.23806,            0.052729,            0.013873,           0.0041599,            0.006238,            0.006238,            0.006238
                  40,            0.048949,            0.021901,           0.0021227,             0.65165,             0.53401,             0.52563,             0.22984,            0.052359,            0.014203,           0.0036395,            0.006139,            0.006139,            0.006139
                  41,            0.049402,            0.022605,           0.0021938,             0.68696,             0.54373,             0.56075,             0.25285,             0.05163,            0.014092,           0.0034394,             0.00604,             0.00604,             0.00604
                  42,            0.048961,            0.022104,           0.0021837,             0.66304,             0.51934,             0.54571,              0.2389,            0.051967,            0.014035,           0.0042313,            0.005941,            0.005941,            0.005941
                  43,            0.048901,            0.021834,            0.002051,             0.65625,              0.5424,             0.53901,             0.24152,            0.052422,            0.014048,           0.0049274,            0.005842,            0.005842,            0.005842
                  44,            0.048666,            0.022204,           0.0021646,             0.66633,              0.5757,             0.57262,              0.2525,            0.051158,            0.013979,           0.0036555,            0.005743,            0.005743,            0.005743
                  45,            0.048215,            0.021747,           0.0020069,             0.69322,             0.56771,             0.57565,             0.25442,            0.051582,            0.013872,           0.0039835,            0.005644,            0.005644,            0.005644
                  46,            0.048192,            0.021602,           0.0022242,             0.69861,             0.54017,             0.56335,             0.25231,            0.051015,            0.013852,           0.0041377,            0.005545,            0.005545,            0.005545
                  47,            0.047961,            0.021592,           0.0021066,             0.67307,             0.52162,             0.53731,             0.24399,            0.052233,            0.013802,           0.0039652,            0.005446,            0.005446,            0.005446
                  48,            0.047662,            0.021824,           0.0019483,             0.65869,             0.57545,              0.5727,             0.25459,            0.051411,            0.013612,           0.0039937,            0.005347,            0.005347,            0.005347
                  49,            0.048167,            0.021681,            0.001901,             0.68012,             0.54693,             0.54923,              0.2482,            0.051391,            0.013909,            0.003914,            0.005248,            0.005248,            0.005248
                  50,            0.047759,              0.0221,           0.0017925,             0.68343,             0.53943,             0.56598,             0.25485,            0.051322,            0.013737,           0.0041783,            0.005149,            0.005149,            0.005149
                  51,              0.0475,            0.021746,           0.0020609,             0.65567,             0.57264,             0.56968,             0.25659,            0.050721,            0.013825,           0.0046722,             0.00505,             0.00505,             0.00505
                  52,            0.047156,            0.021331,           0.0016953,             0.64789,             0.57376,             0.55579,             0.25631,            0.051308,             0.01358,           0.0043651,            0.004951,            0.004951,            0.004951
                  53,            0.047435,            0.021516,           0.0018865,             0.66027,              0.5675,             0.58158,             0.26339,            0.051168,            0.013721,           0.0038209,            0.004852,            0.004852,            0.004852
                  54,             0.04666,            0.021217,           0.0019182,             0.69287,             0.55513,             0.58028,             0.26135,            0.050723,            0.013697,           0.0042048,            0.004753,            0.004753,            0.004753
