               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048595,            0.021866,           0.0021947,              0.7153,             0.54076,             0.57438,             0.25303,            0.051206,            0.013686,           0.0036894,             0.00307,             0.00307,             0.00307
                  37,            0.047902,             0.02216,           0.0017381,             0.68912,             0.57042,             0.58764,             0.25132,            0.051437,            0.013788,           0.0044232,            0.002872,            0.002872,            0.002872
                  38,            0.047284,            0.021681,           0.0018296,             0.69925,              0.5422,             0.58188,             0.25578,            0.050694,            0.013751,           0.0046309,            0.002674,            0.002674,            0.002674
                  39,            0.047467,            0.021735,           0.0018759,              0.6882,             0.56882,             0.59066,             0.26221,            0.050682,            0.013523,            0.003987,            0.002476,            0.002476,            0.002476
                  40,            0.046632,            0.021052,           0.0015998,             0.67008,             0.57758,              0.5805,             0.25778,            0.050646,            0.013593,           0.0040674,            0.002278,            0.002278,            0.002278
                  41,            0.046681,            0.021733,           0.0018313,             0.67787,             0.55035,             0.58639,             0.26525,            0.050259,            0.013816,           0.0038193,             0.00208,             0.00208,             0.00208
                  42,            0.046366,            0.021243,           0.0016205,             0.68248,             0.57813,             0.59115,             0.27126,            0.050809,            0.013541,           0.0038741,            0.001882,            0.001882,            0.001882
                  43,             0.04624,            0.020885,           0.0015359,             0.67993,             0.57952,             0.59445,             0.27139,            0.050694,            0.013433,           0.0044013,            0.001684,            0.001684,            0.001684
                  44,            0.045716,            0.021116,           0.0014799,              0.6985,             0.57451,             0.59938,             0.27344,            0.050213,            0.013477,           0.0040467,            0.001486,            0.001486,            0.001486
                  45,            0.045516,            0.020746,           0.0015283,             0.67087,             0.60277,             0.60761,             0.27633,            0.050283,            0.013524,           0.0038774,            0.001288,            0.001288,            0.001288
                  46,            0.045218,            0.020676,           0.0015217,             0.68276,             0.59832,             0.60342,             0.27815,            0.049672,             0.01339,           0.0043532,             0.00109,             0.00109,             0.00109
                  47,             0.04508,            0.020655,           0.0015278,             0.66845,             0.59232,             0.59197,             0.27269,            0.049806,            0.013419,           0.0043747,            0.000892,            0.000892,            0.000892
                  48,            0.044789,            0.020714,           0.0013432,             0.67915,             0.59056,             0.60016,             0.27607,            0.049038,            0.013481,           0.0041927,            0.000694,            0.000694,            0.000694
                  49,            0.045111,            0.020715,           0.0012448,             0.68002,             0.59495,             0.59403,             0.27657,            0.049313,            0.013552,           0.0042816,            0.000496,            0.000496,            0.000496
