               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041288,             0.02631,           0.0017678,             0.47464,             0.42181,             0.38956,             0.17888,            0.051152,             0.01984,            0.006163,             0.00307,             0.00307,             0.00307
                  37,            0.041118,            0.025765,           0.0019627,              0.4536,             0.43197,             0.38213,              0.1754,            0.050759,            0.019988,           0.0054073,            0.002872,            0.002872,            0.002872
                  38,            0.040767,            0.025424,           0.0015204,             0.46845,             0.46408,             0.41505,             0.18464,             0.05122,            0.019455,           0.0056287,            0.002674,            0.002674,            0.002674
                  39,             0.03997,            0.025615,           0.0015181,             0.47614,             0.43645,             0.39876,             0.17636,            0.050574,             0.01999,           0.0056604,            0.002476,            0.002476,            0.002476
                  40,            0.039594,            0.025194,           0.0019597,              0.5038,             0.48364,             0.42293,             0.19267,            0.050448,            0.019712,           0.0055409,            0.002278,            0.002278,            0.002278
                  41,            0.039089,            0.026058,            0.001623,             0.48915,             0.40479,             0.38948,             0.16931,            0.051199,            0.020347,           0.0070607,             0.00208,             0.00208,             0.00208
                  42,            0.039237,            0.025109,           0.0015218,              0.4679,             0.45024,             0.41677,             0.18615,            0.049985,            0.020056,           0.0050993,            0.001882,            0.001882,            0.001882
                  43,            0.038704,            0.024852,           0.0017846,             0.52091,             0.43993,             0.41427,             0.19187,            0.050142,            0.019744,            0.005923,            0.001684,            0.001684,            0.001684
                  44,            0.038273,            0.024208,           0.0016649,             0.53039,             0.40984,             0.41497,             0.19382,            0.049566,             0.01996,           0.0052055,            0.001486,            0.001486,            0.001486
                  45,            0.038242,            0.023674,           0.0017461,             0.45616,              0.5124,              0.4236,             0.19751,            0.049478,            0.019872,           0.0050892,            0.001288,            0.001288,            0.001288
                  46,            0.037613,            0.024229,            0.001701,             0.53241,             0.43677,             0.42865,             0.19686,            0.049564,            0.020078,           0.0052109,             0.00109,             0.00109,             0.00109
                  47,            0.037548,            0.024378,           0.0015209,             0.55427,             0.43385,             0.44021,             0.20398,            0.049096,            0.019798,           0.0053929,            0.000892,            0.000892,            0.000892
                  48,            0.036802,            0.024422,           0.0015439,             0.54797,             0.45622,              0.4423,             0.20054,            0.049408,            0.019925,           0.0054708,            0.000694,            0.000694,            0.000694
                  49,            0.036986,            0.024693,           0.0013949,             0.54377,              0.4267,             0.43352,             0.20344,            0.049108,            0.019984,           0.0052503,            0.000496,            0.000496,            0.000496
